episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
134,2,6,7,-40,6,0,6,94,0.05082950737585844
135,0,8,6,-60,4,0,5,95,0.05057535983897914
135,1,0,5,-100,0,2,5,95,0.05057535983897914
135,2,5,6,-90,2,2,6,94,0.05057535983897914
136,0,4,6,-40,6,8,5,95,0.050322483039784247
136,1,6,3,-40,6,1,3,97,0.050322483039784247
136,2,8,5,-135,1,9,7,93,0.050322483039784247
137,0,9,6,-70,3,4,3,97,0.050070870624585324
137,1,5,1,-40,6,0,5,95,0.050070870624585324
137,2,5,9,-60,6,4,8,92,0.050070870624585324
138,0,9,0,-40,6,2,7,93,0.049820516271462396
138,1,2,1,-90,2,3,1,99,0.049820516271462396
138,2,1,1,-25,8,1,6,94,0.049820516271462396
139,0,5,7,-10,9,0,7,93,0.049571413690105086
139,1,2,4,-70,3,1,3,97,0.049571413690105086
139,2,3,2,-85,2,1,3,97,0.049571413690105086
140,0,1,4,-60,4,1,4,96,0.04932355662165456
140,1,3,4,-55,5,1,5,95,0.04932355662165456
140,2,7,8,-70,3,0,10,90,0.04932355662165456
141,0,5,7,-50,5,9,7,93,0.04907693883854629
141,1,7,9,-70,6,11,3,97,0.04907693883854629
141,2,6,5,-90,5,8,5,95,0.04907693883854629
142,0,3,3,-60,4,3,6,94,0.048831554144353556
142,1,2,7,-35,8,3,4,96,0.048831554144353556
142,2,6,0,-20,8,0,6,94,0.048831554144353556
143,0,8,0,-90,1,1,4,96,0.04858739637363179
143,1,1,5,-55,5,5,6,94,0.04858739637363179
143,2,0,7,-50,7,4,3,97,0.04858739637363179
144,0,8,0,-60,4,1,5,95,0.04834445939176363
144,1,6,3,-10,9,1,7,93,0.04834445939176363
144,2,5,3,-40,7,2,0,100,0.04834445939176363
145,0,4,6,-50,5,2,5,95,0.04810273709480481
145,1,3,4,-85,2,1,4,96,0.04810273709480481
145,2,2,1,-65,4,1,6,94,0.04810273709480481
146,0,8,1,-80,2,0,5,95,0.04786222340933079
146,1,6,5,-70,3,5,7,93,0.04786222340933079
146,2,1,8,-105,2,5,7,93,0.04786222340933079
147,0,2,6,-10,9,2,2,98,0.04762291229228413
147,1,4,5,-55,5,2,8,92,0.04762291229228413
147,2,6,4,-50,6,2,3,97,0.04762291229228413
148,0,7,5,-80,2,0,7,93,0.04738479773082271
148,1,6,7,-80,2,0,9,91,0.04738479773082271
148,2,3,9,-60,4,0,3,97,0.04738479773082271
149,0,6,6,-90,1,1,1,99,0.04714787374216859
